RUN	computerdatabase.ProveOwner	proveowner	1588030126469	9 per sec	3.3.1
USER	Prove Ownership	106	END	1588030139363	1588030140196
USER	Prove Ownership	114	START	1588030140253	1588030140253
USER	Prove Ownership	115	START	1588030140364	1588030140364
USER	Prove Ownership	116	START	1588030140474	1588030140474
REQUEST	108		Prove Owner	1588030139585	1588030140552	OK	 
USER	Prove Ownership	108	END	1588030139584	1588030140553
USER	Prove Ownership	117	START	1588030140583	1588030140583
REQUEST	107		Prove Owner	1588030139474	1588030140656	OK	 
USER	Prove Ownership	107	END	1588030139474	1588030140657
USER	Prove Ownership	118	START	1588030140703	1588030140703
USER	Prove Ownership	119	START	1588030140814	1588030140814
REQUEST	109		Prove Owner	1588030139705	1588030140883	OK	 
USER	Prove Ownership	109	END	1588030139704	1588030140884
USER	Prove Ownership	120	START	1588030140924	1588030140924
USER	Prove Ownership	121	START	1588030141033	1588030141033
REQUEST	110		Prove Owner	1588030139815	1588030141131	OK	 
USER	Prove Ownership	110	END	1588030139814	1588030141132
USER	Prove Ownership	122	START	1588030141145	1588030141145
USER	Prove Ownership	123	START	1588030141253	1588030141253
REQUEST	111		Prove Owner	1588030139925	1588030141350	OK	 
USER	Prove Ownership	111	END	1588030139924	1588030141351
USER	Prove Ownership	124	START	1588030141363	1588030141363
REQUEST	112		Prove Owner	1588030140034	1588030141412	OK	 
USER	Prove Ownership	112	END	1588030140034	1588030141413
USER	Prove Ownership	125	START	1588030141473	1588030141473
USER	Prove Ownership	126	START	1588030141584	1588030141584
REQUEST	113		Prove Owner	1588030140145	1588030141589	OK	 
USER	Prove Ownership	113	END	1588030140143	1588030141590
REQUEST	114		Prove Owner	1588030140254	1588030141628	OK	 
USER	Prove Ownership	114	END	1588030140253	1588030141628
USER	Prove Ownership	127	START	1588030141704	1588030141704
REQUEST	115		Prove Owner	1588030140365	1588030141795	OK	 
USER	Prove Ownership	115	END	1588030140364	1588030141795
USER	Prove Ownership	128	START	1588030141814	1588030141814
REQUEST	116		Prove Owner	1588030140475	1588030141878	OK	 
USER	Prove Ownership	116	END	1588030140474	1588030141878
USER	Prove Ownership	129	START	1588030141923	1588030141923
REQUEST	117		Prove Owner	1588030140584	1588030142019	OK	 
USER	Prove Ownership	117	END	1588030140583	1588030142020
USER	Prove Ownership	130	START	1588030142033	1588030142033
REQUEST	118		Prove Owner	1588030140704	1588030142087	OK	 
USER	Prove Ownership	118	END	1588030140703	1588030142088
USER	Prove Ownership	131	START	1588030142143	1588030142143
REQUEST	119		Prove Owner	1588030140815	1588030142211	OK	 
USER	Prove Ownership	119	END	1588030140814	1588030142212
USER	Prove Ownership	132	START	1588030142253	1588030142253
REQUEST	120		Prove Owner	1588030140924	1588030142267	OK	 
USER	Prove Ownership	120	END	1588030140924	1588030142268
USER	Prove Ownership	133	START	1588030142364	1588030142364
REQUEST	121		Prove Owner	1588030141034	1588030142373	OK	 
USER	Prove Ownership	121	END	1588030141033	1588030142373
REQUEST	122		Prove Owner	1588030141145	1588030142386	OK	 
USER	Prove Ownership	122	END	1588030141145	1588030142387
USER	Prove Ownership	134	START	1588030142473	1588030142473
REQUEST	124		Prove Owner	1588030141364	1588030142519	OK	 
USER	Prove Ownership	124	END	1588030141363	1588030142519
REQUEST	123		Prove Owner	1588030141255	1588030142576	OK	 
USER	Prove Ownership	123	END	1588030141253	1588030142576
USER	Prove Ownership	135	START	1588030142583	1588030142583
USER	Prove Ownership	136	START	1588030142703	1588030142703
REQUEST	125		Prove Owner	1588030141474	1588030142716	OK	 
USER	Prove Ownership	125	END	1588030141473	1588030142717
USER	Prove Ownership	137	START	1588030142814	1588030142814
REQUEST	126		Prove Owner	1588030141589	1588030142833	OK	 
USER	Prove Ownership	126	END	1588030141584	1588030142834
REQUEST	127		Prove Owner	1588030141705	1588030142857	OK	 
USER	Prove Ownership	127	END	1588030141704	1588030142858
USER	Prove Ownership	138	START	1588030142923	1588030142923
USER	Prove Ownership	139	START	1588030143033	1588030143033
REQUEST	128		Prove Owner	1588030141815	1588030143042	OK	 
USER	Prove Ownership	128	END	1588030141814	1588030143043
REQUEST	129		Prove Owner	1588030141924	1588030143079	OK	 
USER	Prove Ownership	129	END	1588030141923	1588030143080
USER	Prove Ownership	140	START	1588030143145	1588030143145
REQUEST	130		Prove Owner	1588030142034	1588030143177	OK	 
USER	Prove Ownership	130	END	1588030142033	1588030143178
REQUEST	131		Prove Owner	1588030142144	1588030143243	OK	 
USER	Prove Ownership	131	END	1588030142143	1588030143243
USER	Prove Ownership	141	START	1588030143255	1588030143255
REQUEST	132		Prove Owner	1588030142255	1588030143352	OK	 
USER	Prove Ownership	132	END	1588030142253	1588030143352
USER	Prove Ownership	142	START	1588030143363	1588030143363
REQUEST	133		Prove Owner	1588030142364	1588030143424	OK	 
USER	Prove Ownership	133	END	1588030142364	1588030143424
USER	Prove Ownership	143	START	1588030143474	1588030143474
REQUEST	134		Prove Owner	1588030142474	1588030143524	OK	 
USER	Prove Ownership	134	END	1588030142473	1588030143524
USER	Prove Ownership	144	START	1588030143583	1588030143583
REQUEST	135		Prove Owner	1588030142584	1588030143608	OK	 
USER	Prove Ownership	135	END	1588030142583	1588030143609
REQUEST	136		Prove Owner	1588030142704	1588030143693	OK	 
USER	Prove Ownership	136	END	1588030142703	1588030143694
USER	Prove Ownership	145	START	1588030143703	1588030143703
USER	Prove Ownership	146	START	1588030143813	1588030143813
REQUEST	137		Prove Owner	1588030142814	1588030143877	OK	 
USER	Prove Ownership	137	END	1588030142814	1588030143878
REQUEST	138		Prove Owner	1588030142924	1588030143918	OK	 
USER	Prove Ownership	138	END	1588030142923	1588030143919
USER	Prove Ownership	147	START	1588030143924	1588030143924
USER	Prove Ownership	148	START	1588030144034	1588030144034
REQUEST	139		Prove Owner	1588030143034	1588030144113	OK	 
USER	Prove Ownership	139	END	1588030143033	1588030144114
USER	Prove Ownership	149	START	1588030144143	1588030144143
REQUEST	140		Prove Owner	1588030143146	1588030144180	OK	 
USER	Prove Ownership	140	END	1588030143145	1588030144181
USER	Prove Ownership	150	START	1588030144255	1588030144255
