RUN	computerdatabase.ProveOwner	proveowner	1604951016620	10 prove	3.3.1
USER	Prove Ownership	88	START	1604951026851	1604951026851
REQUEST	85		Prove Owner	1604951026551	1604951026865	OK	 
USER	Prove Ownership	85	END	1604951026550	1604951026866
USER	Prove Ownership	89	START	1604951026949	1604951026949
REQUEST	87		Prove Owner	1604951026751	1604951026964	OK	 
USER	Prove Ownership	87	END	1604951026750	1604951026965
REQUEST	88		Prove Owner	1604951026852	1604951027019	OK	 
USER	Prove Ownership	88	END	1604951026851	1604951027019
USER	Prove Ownership	90	START	1604951027049	1604951027049
REQUEST	89		Prove Owner	1604951026950	1604951027141	OK	 
USER	Prove Ownership	89	END	1604951026949	1604951027142
USER	Prove Ownership	91	START	1604951027150	1604951027150
REQUEST	90		Prove Owner	1604951027050	1604951027163	OK	 
USER	Prove Ownership	90	END	1604951027049	1604951027164
REQUEST	91		Prove Owner	1604951027151	1604951027211	OK	 
USER	Prove Ownership	91	END	1604951027150	1604951027212
USER	Prove Ownership	92	START	1604951027250	1604951027250
REQUEST	92		Prove Owner	1604951027251	1604951027321	OK	 
USER	Prove Ownership	92	END	1604951027250	1604951027322
USER	Prove Ownership	93	START	1604951027349	1604951027349
REQUEST	93		Prove Owner	1604951027351	1604951027424	OK	 
USER	Prove Ownership	93	END	1604951027349	1604951027424
USER	Prove Ownership	94	START	1604951027451	1604951027451
REQUEST	94		Prove Owner	1604951027452	1604951027539	OK	 
USER	Prove Ownership	94	END	1604951027451	1604951027540
USER	Prove Ownership	95	START	1604951027549	1604951027549
REQUEST	95		Prove Owner	1604951027550	1604951027630	OK	 
USER	Prove Ownership	95	END	1604951027549	1604951027630
USER	Prove Ownership	96	START	1604951027650	1604951027650
REQUEST	96		Prove Owner	1604951027651	1604951027709	OK	 
USER	Prove Ownership	96	END	1604951027650	1604951027710
USER	Prove Ownership	97	START	1604951027751	1604951027751
REQUEST	97		Prove Owner	1604951027752	1604951027812	OK	 
USER	Prove Ownership	97	END	1604951027751	1604951027813
USER	Prove Ownership	98	START	1604951027850	1604951027850
REQUEST	98		Prove Owner	1604951027852	1604951027903	OK	 
USER	Prove Ownership	98	END	1604951027850	1604951027904
USER	Prove Ownership	99	START	1604951027952	1604951027952
REQUEST	99		Prove Owner	1604951027954	1604951028034	OK	 
USER	Prove Ownership	99	END	1604951027952	1604951028035
USER	Prove Ownership	100	START	1604951028050	1604951028050
REQUEST	100		Prove Owner	1604951028050	1604951028104	OK	 
USER	Prove Ownership	100	END	1604951028050	1604951028104
USER	Prove Ownership	101	START	1604951028150	1604951028150
REQUEST	101		Prove Owner	1604951028150	1604951028228	OK	 
USER	Prove Ownership	101	END	1604951028150	1604951028228
USER	Prove Ownership	102	START	1604951028250	1604951028250
REQUEST	102		Prove Owner	1604951028251	1604951028349	OK	 
USER	Prove Ownership	102	END	1604951028250	1604951028350
USER	Prove Ownership	103	START	1604951028352	1604951028352
USER	Prove Ownership	104	START	1604951028452	1604951028452
USER	Prove Ownership	105	START	1604951028549	1604951028549
REQUEST	103		Prove Owner	1604951028355	1604951028573	OK	 
USER	Prove Ownership	103	END	1604951028352	1604951028574
REQUEST	104		Prove Owner	1604951028455	1604951028641	OK	 
USER	Prove Ownership	104	END	1604951028452	1604951028642
USER	Prove Ownership	106	START	1604951028651	1604951028651
REQUEST	105		Prove Owner	1604951028550	1604951028675	OK	 
USER	Prove Ownership	105	END	1604951028549	1604951028675
REQUEST	106		Prove Owner	1604951028652	1604951028713	OK	 
USER	Prove Ownership	106	END	1604951028651	1604951028713
USER	Prove Ownership	107	START	1604951028752	1604951028752
REQUEST	107		Prove Owner	1604951028752	1604951028805	OK	 
USER	Prove Ownership	107	END	1604951028752	1604951028806
USER	Prove Ownership	108	START	1604951028852	1604951028852
REQUEST	108		Prove Owner	1604951028853	1604951028903	OK	 
USER	Prove Ownership	108	END	1604951028852	1604951028903
USER	Prove Ownership	109	START	1604951028951	1604951028951
REQUEST	109		Prove Owner	1604951028952	1604951029027	OK	 
USER	Prove Ownership	109	END	1604951028951	1604951029027
USER	Prove Ownership	110	START	1604951029050	1604951029050
REQUEST	110		Prove Owner	1604951029051	1604951029116	OK	 
USER	Prove Ownership	110	END	1604951029050	1604951029116
USER	Prove Ownership	111	START	1604951029149	1604951029149
REQUEST	111		Prove Owner	1604951029150	1604951029214	OK	 
USER	Prove Ownership	111	END	1604951029149	1604951029214
USER	Prove Ownership	112	START	1604951029250	1604951029250
REQUEST	112		Prove Owner	1604951029250	1604951029317	OK	 
USER	Prove Ownership	112	END	1604951029250	1604951029318
USER	Prove Ownership	113	START	1604951029349	1604951029349
USER	Prove Ownership	114	START	1604951029449	1604951029449
USER	Prove Ownership	115	START	1604951029550	1604951029550
REQUEST	113		Prove Owner	1604951029352	1604951029606	OK	 
USER	Prove Ownership	113	END	1604951029349	1604951029607
USER	Prove Ownership	116	START	1604951029650	1604951029650
REQUEST	114		Prove Owner	1604951029451	1604951029730	OK	 
USER	Prove Ownership	114	END	1604951029449	1604951029731
USER	Prove Ownership	117	START	1604951029750	1604951029750
REQUEST	115		Prove Owner	1604951029553	1604951029767	OK	 
USER	Prove Ownership	115	END	1604951029550	1604951029768
REQUEST	116		Prove Owner	1604951029651	1604951029779	OK	 
USER	Prove Ownership	116	END	1604951029650	1604951029779
REQUEST	117		Prove Owner	1604951029751	1604951029828	OK	 
USER	Prove Ownership	117	END	1604951029750	1604951029829
USER	Prove Ownership	118	START	1604951029850	1604951029850
REQUEST	118		Prove Owner	1604951029852	1604951029911	OK	 
USER	Prove Ownership	118	END	1604951029850	1604951029912
USER	Prove Ownership	119	START	1604951029952	1604951029952
REQUEST	119		Prove Owner	1604951029953	1604951030035	OK	 
USER	Prove Ownership	119	END	1604951029952	1604951030035
USER	Prove Ownership	120	START	1604951030051	1604951030051
REQUEST	120		Prove Owner	1604951030052	1604951030111	OK	 
USER	Prove Ownership	120	END	1604951030051	1604951030112
USER	Prove Ownership	121	START	1604951030151	1604951030151
REQUEST	121		Prove Owner	1604951030151	1604951030231	OK	 
USER	Prove Ownership	121	END	1604951030151	1604951030231
USER	Prove Ownership	122	START	1604951030250	1604951030250
REQUEST	122		Prove Owner	1604951030251	1604951030303	OK	 
USER	Prove Ownership	122	END	1604951030250	1604951030304
USER	Prove Ownership	123	START	1604951030352	1604951030352
USER	Prove Ownership	124	START	1604951030451	1604951030451
REQUEST	123		Prove Owner	1604951030353	1604951030519	OK	 
USER	Prove Ownership	123	END	1604951030352	1604951030523
USER	Prove Ownership	125	START	1604951030550	1604951030550
REQUEST	124		Prove Owner	1604951030454	1604951030618	OK	 
USER	Prove Ownership	124	END	1604951030451	1604951030619
REQUEST	125		Prove Owner	1604951030551	1604951030646	OK	 
USER	Prove Ownership	125	END	1604951030550	1604951030647
USER	Prove Ownership	126	START	1604951030650	1604951030650
REQUEST	126		Prove Owner	1604951030656	1604951030724	OK	 
USER	Prove Ownership	126	END	1604951030650	1604951030725
USER	Prove Ownership	127	START	1604951030751	1604951030751
REQUEST	127		Prove Owner	1604951030752	1604951030810	OK	 
USER	Prove Ownership	127	END	1604951030751	1604951030811
USER	Prove Ownership	128	START	1604951030852	1604951030852
REQUEST	128		Prove Owner	1604951030854	1604951030916	OK	 
USER	Prove Ownership	128	END	1604951030852	1604951030917
USER	Prove Ownership	129	START	1604951030951	1604951030951
REQUEST	129		Prove Owner	1604951030952	1604951031033	OK	 
USER	Prove Ownership	129	END	1604951030951	1604951031034
USER	Prove Ownership	130	START	1604951031050	1604951031050
REQUEST	130		Prove Owner	1604951031051	1604951031112	OK	 
USER	Prove Ownership	130	END	1604951031050	1604951031112
USER	Prove Ownership	131	START	1604951031150	1604951031150
USER	Prove Ownership	132	START	1604951031250	1604951031250
REQUEST	131		Prove Owner	1604951031151	1604951031259	OK	 
USER	Prove Ownership	131	END	1604951031150	1604951031259
REQUEST	132		Prove Owner	1604951031251	1604951031348	OK	 
USER	Prove Ownership	132	END	1604951031250	1604951031349
USER	Prove Ownership	133	START	1604951031351	1604951031351
USER	Prove Ownership	134	START	1604951031451	1604951031451
REQUEST	133		Prove Owner	1604951031353	1604951031488	OK	 
USER	Prove Ownership	133	END	1604951031351	1604951031489
USER	Prove Ownership	135	START	1604951031550	1604951031550
REQUEST	134		Prove Owner	1604951031453	1604951031593	OK	 
USER	Prove Ownership	134	END	1604951031451	1604951031593
USER	Prove Ownership	136	START	1604951031650	1604951031650
REQUEST	135		Prove Owner	1604951031551	1604951031652	OK	 
USER	Prove Ownership	135	END	1604951031550	1604951031653
REQUEST	136		Prove Owner	1604951031651	1604951031718	OK	 
USER	Prove Ownership	136	END	1604951031650	1604951031719
USER	Prove Ownership	137	START	1604951031749	1604951031749
REQUEST	137		Prove Owner	1604951031750	1604951031822	OK	 
USER	Prove Ownership	137	END	1604951031749	1604951031823
USER	Prove Ownership	138	START	1604951031850	1604951031850
REQUEST	138		Prove Owner	1604951031852	1604951031914	OK	 
USER	Prove Ownership	138	END	1604951031850	1604951031915
USER	Prove Ownership	139	START	1604951031950	1604951031950
REQUEST	139		Prove Owner	1604951031950	1604951032028	OK	 
USER	Prove Ownership	139	END	1604951031950	1604951032028
USER	Prove Ownership	140	START	1604951032052	1604951032052
REQUEST	140		Prove Owner	1604951032053	1604951032138	OK	 
USER	Prove Ownership	140	END	1604951032052	1604951032139
USER	Prove Ownership	141	START	1604951032150	1604951032150
USER	Prove Ownership	142	START	1604951032250	1604951032250
REQUEST	141		Prove Owner	1604951032151	1604951032259	OK	 
USER	Prove Ownership	141	END	1604951032150	1604951032260
USER	Prove Ownership	143	START	1604951032351	1604951032351
REQUEST	142		Prove Owner	1604951032251	1604951032370	OK	 
USER	Prove Ownership	142	END	1604951032250	1604951032371
USER	Prove Ownership	144	START	1604951032450	1604951032450
REQUEST	143		Prove Owner	1604951032353	1604951032489	OK	 
USER	Prove Ownership	143	END	1604951032351	1604951032489
USER	Prove Ownership	145	START	1604951032550	1604951032550
REQUEST	144		Prove Owner	1604951032452	1604951032589	OK	 
USER	Prove Ownership	144	END	1604951032450	1604951032590
REQUEST	145		Prove Owner	1604951032551	1604951032636	OK	 
USER	Prove Ownership	145	END	1604951032550	1604951032637
USER	Prove Ownership	146	START	1604951032649	1604951032649
REQUEST	146		Prove Owner	1604951032650	1604951032732	OK	 
USER	Prove Ownership	146	END	1604951032649	1604951032733
USER	Prove Ownership	147	START	1604951032750	1604951032750
REQUEST	147		Prove Owner	1604951032751	1604951032798	OK	 
USER	Prove Ownership	147	END	1604951032750	1604951032799
USER	Prove Ownership	148	START	1604951032853	1604951032853
REQUEST	148		Prove Owner	1604951032854	1604951032913	OK	 
USER	Prove Ownership	148	END	1604951032853	1604951032913
USER	Prove Ownership	149	START	1604951032950	1604951032950
USER	Prove Ownership	150	START	1604951033050	1604951033050
REQUEST	149		Prove Owner	1604951032951	1604951033059	OK	 
USER	Prove Ownership	149	END	1604951032950	1604951033060
REQUEST	150		Prove Owner	1604951033051	1604951033137	OK	 
USER	Prove Ownership	150	END	1604951033050	1604951033138
USER	Prove Ownership	151	START	1604951033151	1604951033151
REQUEST	151		Prove Owner	1604951033152	1604951033214	OK	 
USER	Prove Ownership	151	END	1604951033151	1604951033215
USER	Prove Ownership	152	START	1604951033249	1604951033249
USER	Prove Ownership	153	START	1604951033352	1604951033352
REQUEST	152		Prove Owner	1604951033250	1604951033393	OK	 
USER	Prove Ownership	152	END	1604951033249	1604951033394
USER	Prove Ownership	154	START	1604951033450	1604951033450
USER	Prove Ownership	155	START	1604951033550	1604951033550
REQUEST	153		Prove Owner	1604951033355	1604951033626	OK	 
USER	Prove Ownership	153	END	1604951033352	1604951033627
USER	Prove Ownership	156	START	1604951033649	1604951033649
REQUEST	154		Prove Owner	1604951033452	1604951033687	OK	 
USER	Prove Ownership	154	END	1604951033450	1604951033687
REQUEST	155		Prove Owner	1604951033551	1604951033697	OK	 
USER	Prove Ownership	155	END	1604951033550	1604951033698
REQUEST	156		Prove Owner	1604951033650	1604951033747	OK	 
USER	Prove Ownership	156	END	1604951033649	1604951033748
USER	Prove Ownership	157	START	1604951033750	1604951033750
REQUEST	157		Prove Owner	1604951033750	1604951033810	OK	 
USER	Prove Ownership	157	END	1604951033750	1604951033811
USER	Prove Ownership	158	START	1604951033850	1604951033850
REQUEST	158		Prove Owner	1604951033852	1604951033907	OK	 
USER	Prove Ownership	158	END	1604951033850	1604951033908
USER	Prove Ownership	159	START	1604951033951	1604951033951
REQUEST	159		Prove Owner	1604951033952	1604951034024	OK	 
USER	Prove Ownership	159	END	1604951033951	1604951034025
USER	Prove Ownership	160	START	1604951034051	1604951034051
REQUEST	160		Prove Owner	1604951034051	1604951034104	OK	 
USER	Prove Ownership	160	END	1604951034051	1604951034104
USER	Prove Ownership	161	START	1604951034152	1604951034152
