RUN	computerdatabase.ProveOwner	proveowner	1606767974831	 	3.3.1
REQUEST	63		Prove Owner	1606767983414	1606767983484	OK	 
USER	Prove Ownership	63	END	1606767983411	1606767983485
USER	Prove Ownership	64	START	1606767983522	1606767983522
REQUEST	64		Prove Owner	1606767983523	1606767983576	OK	 
USER	Prove Ownership	64	END	1606767983522	1606767983577
USER	Prove Ownership	65	START	1606767983642	1606767983642
REQUEST	65		Prove Owner	1606767983643	1606767983699	OK	 
USER	Prove Ownership	65	END	1606767983642	1606767983700
USER	Prove Ownership	66	START	1606767983754	1606767983754
REQUEST	66		Prove Owner	1606767983755	1606767983810	OK	 
USER	Prove Ownership	66	END	1606767983754	1606767983810
USER	Prove Ownership	67	START	1606767983863	1606767983863
REQUEST	67		Prove Owner	1606767983864	1606767983945	OK	 
USER	Prove Ownership	67	END	1606767983863	1606767983946
USER	Prove Ownership	68	START	1606767983971	1606767983971
REQUEST	68		Prove Owner	1606767983972	1606767984022	OK	 
USER	Prove Ownership	68	END	1606767983971	1606767984023
USER	Prove Ownership	69	START	1606767984083	1606767984083
REQUEST	69		Prove Owner	1606767984084	1606767984136	OK	 
USER	Prove Ownership	69	END	1606767984083	1606767984137
USER	Prove Ownership	70	START	1606767984192	1606767984192
REQUEST	70		Prove Owner	1606767984192	1606767984246	OK	 
USER	Prove Ownership	70	END	1606767984192	1606767984246
USER	Prove Ownership	71	START	1606767984301	1606767984301
REQUEST	71		Prove Owner	1606767984302	1606767984366	OK	 
USER	Prove Ownership	71	END	1606767984301	1606767984367
USER	Prove Ownership	72	START	1606767984411	1606767984411
REQUEST	72		Prove Owner	1606767984413	1606767984502	OK	 
USER	Prove Ownership	72	END	1606767984411	1606767984502
USER	Prove Ownership	73	START	1606767984532	1606767984532
REQUEST	73		Prove Owner	1606767984533	1606767984597	OK	 
USER	Prove Ownership	73	END	1606767984532	1606767984598
USER	Prove Ownership	74	START	1606767984633	1606767984633
REQUEST	74		Prove Owner	1606767984633	1606767984692	OK	 
USER	Prove Ownership	74	END	1606767984633	1606767984693
USER	Prove Ownership	75	START	1606767984752	1606767984752
REQUEST	75		Prove Owner	1606767984753	1606767984815	OK	 
USER	Prove Ownership	75	END	1606767984752	1606767984815
USER	Prove Ownership	76	START	1606767984862	1606767984862
REQUEST	76		Prove Owner	1606767984863	1606767984939	OK	 
USER	Prove Ownership	76	END	1606767984862	1606767984940
USER	Prove Ownership	77	START	1606767984972	1606767984972
REQUEST	77		Prove Owner	1606767984972	1606767985045	OK	 
USER	Prove Ownership	77	END	1606767984972	1606767985046
USER	Prove Ownership	78	START	1606767985081	1606767985081
REQUEST	78		Prove Owner	1606767985082	1606767985148	OK	 
USER	Prove Ownership	78	END	1606767985081	1606767985148
USER	Prove Ownership	79	START	1606767985192	1606767985192
REQUEST	79		Prove Owner	1606767985192	1606767985253	OK	 
USER	Prove Ownership	79	END	1606767985192	1606767985253
USER	Prove Ownership	80	START	1606767985302	1606767985302
REQUEST	80		Prove Owner	1606767985303	1606767985355	OK	 
USER	Prove Ownership	80	END	1606767985302	1606767985356
USER	Prove Ownership	81	START	1606767985412	1606767985412
REQUEST	81		Prove Owner	1606767985412	1606767985502	OK	 
USER	Prove Ownership	81	END	1606767985412	1606767985502
USER	Prove Ownership	82	START	1606767985522	1606767985522
REQUEST	82		Prove Owner	1606767985523	1606767985578	OK	 
USER	Prove Ownership	82	END	1606767985522	1606767985578
USER	Prove Ownership	83	START	1606767985641	1606767985641
REQUEST	83		Prove Owner	1606767985642	1606767985704	OK	 
USER	Prove Ownership	83	END	1606767985641	1606767985704
USER	Prove Ownership	84	START	1606767985753	1606767985753
REQUEST	84		Prove Owner	1606767985754	1606767985814	OK	 
USER	Prove Ownership	84	END	1606767985753	1606767985815
USER	Prove Ownership	85	START	1606767985862	1606767985862
REQUEST	85		Prove Owner	1606767985863	1606767985936	OK	 
USER	Prove Ownership	85	END	1606767985862	1606767985936
USER	Prove Ownership	86	START	1606767985972	1606767985972
REQUEST	86		Prove Owner	1606767985973	1606767986030	OK	 
USER	Prove Ownership	86	END	1606767985972	1606767986031
USER	Prove Ownership	87	START	1606767986082	1606767986082
REQUEST	87		Prove Owner	1606767986083	1606767986143	OK	 
USER	Prove Ownership	87	END	1606767986082	1606767986144
USER	Prove Ownership	88	START	1606767986191	1606767986191
REQUEST	88		Prove Owner	1606767986192	1606767986245	OK	 
USER	Prove Ownership	88	END	1606767986191	1606767986246
USER	Prove Ownership	89	START	1606767986304	1606767986304
REQUEST	89		Prove Owner	1606767986305	1606767986366	OK	 
USER	Prove Ownership	89	END	1606767986304	1606767986366
USER	Prove Ownership	90	START	1606767986414	1606767986414
REQUEST	90		Prove Owner	1606767986415	1606767986512	OK	 
USER	Prove Ownership	90	END	1606767986414	1606767986513
USER	Prove Ownership	91	START	1606767986523	1606767986523
REQUEST	91		Prove Owner	1606767986524	1606767986580	OK	 
USER	Prove Ownership	91	END	1606767986523	1606767986581
USER	Prove Ownership	92	START	1606767986642	1606767986642
REQUEST	92		Prove Owner	1606767986642	1606767986709	OK	 
USER	Prove Ownership	92	END	1606767986642	1606767986709
USER	Prove Ownership	93	START	1606767986753	1606767986753
USER	Prove Ownership	94	START	1606767986863	1606767986863
REQUEST	93		Prove Owner	1606767986754	1606767986870	OK	 
USER	Prove Ownership	93	END	1606767986753	1606767986870
REQUEST	94		Prove Owner	1606767986864	1606767986957	OK	 
USER	Prove Ownership	94	END	1606767986863	1606767986958
USER	Prove Ownership	95	START	1606767986973	1606767986973
REQUEST	95		Prove Owner	1606767986973	1606767987053	OK	 
USER	Prove Ownership	95	END	1606767986973	1606767987053
USER	Prove Ownership	96	START	1606767987082	1606767987082
USER	Prove Ownership	97	START	1606767987192	1606767987192
REQUEST	96		Prove Owner	1606767987083	1606767987211	OK	 
USER	Prove Ownership	96	END	1606767987082	1606767987212
REQUEST	97		Prove Owner	1606767987193	1606767987278	OK	 
USER	Prove Ownership	97	END	1606767987192	1606767987279
USER	Prove Ownership	98	START	1606767987302	1606767987302
REQUEST	98		Prove Owner	1606767987302	1606767987349	OK	 
USER	Prove Ownership	98	END	1606767987302	1606767987349
USER	Prove Ownership	99	START	1606767987413	1606767987413
REQUEST	99		Prove Owner	1606767987413	1606767987481	OK	 
USER	Prove Ownership	99	END	1606767987413	1606767987481
USER	Prove Ownership	100	START	1606767987533	1606767987533
REQUEST	100		Prove Owner	1606767987534	1606767987584	OK	 
USER	Prove Ownership	100	END	1606767987533	1606767987585
USER	Prove Ownership	101	START	1606767987633	1606767987633
REQUEST	101		Prove Owner	1606767987634	1606767987684	OK	 
USER	Prove Ownership	101	END	1606767987633	1606767987685
USER	Prove Ownership	102	START	1606767987752	1606767987752
REQUEST	102		Prove Owner	1606767987753	1606767987802	OK	 
USER	Prove Ownership	102	END	1606767987752	1606767987803
USER	Prove Ownership	103	START	1606767987863	1606767987863
REQUEST	103		Prove Owner	1606767987864	1606767987932	OK	 
USER	Prove Ownership	103	END	1606767987863	1606767987935
USER	Prove Ownership	104	START	1606767987974	1606767987974
REQUEST	104		Prove Owner	1606767987975	1606767988019	OK	 
USER	Prove Ownership	104	END	1606767987974	1606767988019
USER	Prove Ownership	105	START	1606767988082	1606767988082
REQUEST	105		Prove Owner	1606767988083	1606767988131	OK	 
USER	Prove Ownership	105	END	1606767988082	1606767988131
USER	Prove Ownership	106	START	1606767988192	1606767988192
REQUEST	106		Prove Owner	1606767988192	1606767988248	OK	 
USER	Prove Ownership	106	END	1606767988192	1606767988248
USER	Prove Ownership	107	START	1606767988302	1606767988302
REQUEST	107		Prove Owner	1606767988302	1606767988353	OK	 
USER	Prove Ownership	107	END	1606767988302	1606767988353
USER	Prove Ownership	108	START	1606767988412	1606767988412
REQUEST	108		Prove Owner	1606767988412	1606767988484	OK	 
USER	Prove Ownership	108	END	1606767988412	1606767988484
USER	Prove Ownership	109	START	1606767988521	1606767988521
REQUEST	109		Prove Owner	1606767988522	1606767988566	OK	 
USER	Prove Ownership	109	END	1606767988521	1606767988566
USER	Prove Ownership	110	START	1606767988642	1606767988642
REQUEST	110		Prove Owner	1606767988642	1606767988695	OK	 
USER	Prove Ownership	110	END	1606767988642	1606767988696
USER	Prove Ownership	111	START	1606767988753	1606767988753
REQUEST	111		Prove Owner	1606767988755	1606767988801	OK	 
USER	Prove Ownership	111	END	1606767988753	1606767988802
