RUN	computerdatabase.ProveOwner	proveowner	1588020005065	3 users per sec	3.3.1
USER	Prove Ownership	140	START	1588020052684	1588020052684
REQUEST	140		Prove Owner	1588020052685	1588020052787	OK	 
USER	Prove Ownership	140	END	1588020052684	1588020052788
USER	Prove Ownership	141	START	1588020053013	1588020053013
REQUEST	141		Prove Owner	1588020053014	1588020053080	OK	 
USER	Prove Ownership	141	END	1588020053013	1588020053081
USER	Prove Ownership	142	START	1588020053354	1588020053354
REQUEST	142		Prove Owner	1588020053354	1588020053429	OK	 
USER	Prove Ownership	142	END	1588020053354	1588020053430
USER	Prove Ownership	143	START	1588020053684	1588020053684
REQUEST	143		Prove Owner	1588020053685	1588020053742	OK	 
USER	Prove Ownership	143	END	1588020053684	1588020053743
USER	Prove Ownership	144	START	1588020054014	1588020054014
REQUEST	144		Prove Owner	1588020054014	1588020054085	OK	 
USER	Prove Ownership	144	END	1588020054014	1588020054085
USER	Prove Ownership	145	START	1588020054353	1588020054353
REQUEST	145		Prove Owner	1588020054354	1588020054451	OK	 
USER	Prove Ownership	145	END	1588020054353	1588020054451
USER	Prove Ownership	146	START	1588020054683	1588020054683
REQUEST	146		Prove Owner	1588020054685	1588020054764	OK	 
USER	Prove Ownership	146	END	1588020054683	1588020054764
USER	Prove Ownership	147	START	1588020055013	1588020055013
REQUEST	147		Prove Owner	1588020055014	1588020055080	OK	 
USER	Prove Ownership	147	END	1588020055013	1588020055081
USER	Prove Ownership	148	START	1588020055356	1588020055356
REQUEST	148		Prove Owner	1588020055356	1588020055442	OK	 
USER	Prove Ownership	148	END	1588020055356	1588020055443
USER	Prove Ownership	149	START	1588020055683	1588020055683
REQUEST	149		Prove Owner	1588020055684	1588020055819	OK	 
USER	Prove Ownership	149	END	1588020055683	1588020055820
USER	Prove Ownership	150	START	1588020056013	1588020056013
REQUEST	150		Prove Owner	1588020056014	1588020056147	OK	 
USER	Prove Ownership	150	END	1588020056013	1588020056148
USER	Prove Ownership	151	START	1588020056354	1588020056354
REQUEST	151		Prove Owner	1588020056355	1588020056406	OK	 
USER	Prove Ownership	151	END	1588020056354	1588020056407
USER	Prove Ownership	152	START	1588020056685	1588020056685
REQUEST	152		Prove Owner	1588020056686	1588020056758	OK	 
USER	Prove Ownership	152	END	1588020056685	1588020056758
USER	Prove Ownership	153	START	1588020057014	1588020057014
REQUEST	153		Prove Owner	1588020057015	1588020057081	OK	 
USER	Prove Ownership	153	END	1588020057014	1588020057082
